File_Name,File_Type,File_Size,Time_Taken,Hash_Value
1 Course Induction.pdf,pdf,751991,0.07635855674743652,84a20bd80fecf25df677318f00d7e5a1f60c331be5812ec8ced1bd5244caff72
2 What is Data Science.pdf,pdf,317497,0.035816192626953125,1bf33492d3768e2de72d158a157274ff91f74aabec500a2df0876a04a3df5579
3 Data Science Process.pdf,pdf,452062,0.03393220901489258,8f148887d08a9e54ee448a0d6ddde0a5dcc3fbda9c5d8029cdbc6d1d70dd281e
4 Data Munging.pdf,pdf,935811,0.0739891529083252,a90facd7debbfc595820bc36cc585c1872fcc6f9a26a7014650c9ece7f1a4089
5 Data Munging - Closer Look into Data Visualisation.pdf,pdf,1476380,0.13908958435058594,655e2c82fbc0c60f004924f82457d84b411627585b2a68480c42c2a8102963b3
6 Mathmatical Models .pdf,pdf,653944,0.04753923416137695,daa52d5657ee8a1df37e0212817c654589c13ece9ed1ffe737132f952b9ff75c
7 Linear Regression - Example.pdf,pdf,818692,0.07634186744689941,b1497404c59b4be4c5120b1b47bdcba7626903a20cfe93334c299aa2fbb4b34e
7 Linear Regression.pdf,pdf,622802,0.044501304626464844,917aea4896f7b3d946f1ec1974e8be956095662f4be43312c0324f90a6958dbd
file1.R,R,603,0.010717391967773438,f2b616bb352914d791352a825eacfb3291bd9a5c55912fb1c2f2926d98b97977
file2.R,R,1203,0.00963592529296875,1d57242dc99a41927051fe1bf5bff816e632238e7c4a37832a3872d8235dff4d
file3.R,R,1413,0.010057449340820312,867948f19210f5cf4867d12c08bbe6f50ea12eca34022b1cafb71a5d86bb5cba
file4.R,R,898,0.009733200073242188,33fb9c9000bf1084e3222e6232d2e8da6794efba330d8fb40e4d51e11bff4de6
horses-the-wings-of-mankind.jpg,jpg,355331,0.016462087631225586,1acfecd45146cbce8079c45d878b223e27ee0cd5534592dcdc236c1b73930482
Lusitano_Hengst.jpeg,jpeg,209154,0.01375126838684082,62d4acdbcffee159345614651780e0945ffbaa2029f7af77e1f2a3cf0ae87825
main.R,R,858,0.010028600692749023,852dd8d997b240a76b5f7e8ad9e45290da77e8ba1de8fba762ea8547af11aae5
windows1-1.png,png,200665,0.009180068969726562,77b7b886cf97255e55700da679f07610caa0df49a7988aeee121cdc84f7695d3
